Starting imports...
Importing argparse...
Importing torch...
Importing os...
Importing sngp.train and sngp.model...
Importing gaussian_process...
Importing dataset...
Importing json...
ALL IMPORTS COMPLETE!
Parsing arguments...
Arguments parsed! Running GP on Sin with N=1500
Checking CUDA availability...
Using CPU
Making Datasets...
Making Model...
Training Gaussian Process...
Iter   0 | Loss: -826.303 | lengthscale: 1.010 | outputscale: 1.010 | noise: 0.198
Iter  10 | Loss: -936.887 | lengthscale: 1.048 | outputscale: 1.116 | noise: 0.179
Iter  20 | Loss: -1037.538 | lengthscale: 1.084 | outputscale: 1.224 | noise: 0.162
Iter  30 | Loss: -1125.462 | lengthscale: 1.115 | outputscale: 1.329 | noise: 0.148
Iter  40 | Loss: -1198.275 | lengthscale: 1.139 | outputscale: 1.426 | noise: 0.135
Iter  50 | Loss: -1254.539 | lengthscale: 1.158 | outputscale: 1.511 | noise: 0.124
Iter  60 | Loss: -1294.164 | lengthscale: 1.174 | outputscale: 1.584 | noise: 0.116
Iter  70 | Loss: -1318.941 | lengthscale: 1.186 | outputscale: 1.646 | noise: 0.109
Iter  80 | Loss: -1332.129 | lengthscale: 1.197 | outputscale: 1.702 | noise: 0.104
Iter  90 | Loss: -1337.792 | lengthscale: 1.206 | outputscale: 1.745 | noise: 0.100
Iter 100 | Loss: -1339.722 | lengthscale: 1.211 | outputscale: 1.777 | noise: 0.098
Iter 110 | Loss: -1340.101 | lengthscale: 1.215 | outputscale: 1.799 | noise: 0.097
Iter 120 | Loss: -1340.064 | lengthscale: 1.216 | outputscale: 1.811 | noise: 0.096
Iter 130 | Loss: -1339.984 | lengthscale: 1.218 | outputscale: 1.821 | noise: 0.096
Iter 140 | Loss: -1340.086 | lengthscale: 1.220 | outputscale: 1.838 | noise: 0.096
Iter 150 | Loss: -1340.057 | lengthscale: 1.223 | outputscale: 1.848 | noise: 0.096
Iter 160 | Loss: -1340.059 | lengthscale: 1.222 | outputscale: 1.847 | noise: 0.097
Iter 170 | Loss: -1340.119 | lengthscale: 1.223 | outputscale: 1.847 | noise: 0.097
Iter 180 | Loss: -1340.074 | lengthscale: 1.223 | outputscale: 1.851 | noise: 0.097
Iter 190 | Loss: -1340.123 | lengthscale: 1.222 | outputscale: 1.848 | noise: 0.097
Iter 200 | Loss: -1340.031 | lengthscale: 1.225 | outputscale: 1.851 | noise: 0.097
Iter 210 | Loss: -1340.077 | lengthscale: 1.220 | outputscale: 1.844 | noise: 0.097
Iter 220 | Loss: -1340.010 | lengthscale: 1.222 | outputscale: 1.837 | noise: 0.097
Iter 230 | Loss: -1340.109 | lengthscale: 1.224 | outputscale: 1.853 | noise: 0.097
