Starting imports...
Importing argparse...
Importing torch...
Importing os...
Importing sngp.train and sngp.model...
Importing gaussian_process...
Importing dataset...
Importing json...
ALL IMPORTS COMPLETE!
Parsing arguments...
Arguments parsed! Running GP on Sin with N=1500
Checking CUDA availability...
Using CPU
Making Datasets...
Making Model...
Training Gaussian Process...
Iter   0 | Loss: -808.297 | lengthscale: 1.010 | outputscale: 1.010 | noise: 0.198
Iter  10 | Loss: -914.861 | lengthscale: 1.049 | outputscale: 1.116 | noise: 0.179
Iter  20 | Loss: -1010.493 | lengthscale: 1.086 | outputscale: 1.224 | noise: 0.163
Iter  30 | Loss: -1092.223 | lengthscale: 1.118 | outputscale: 1.328 | noise: 0.148
Iter  40 | Loss: -1157.677 | lengthscale: 1.143 | outputscale: 1.423 | noise: 0.135
Iter  50 | Loss: -1205.774 | lengthscale: 1.163 | outputscale: 1.506 | noise: 0.125
Iter  60 | Loss: -1237.295 | lengthscale: 1.179 | outputscale: 1.576 | noise: 0.117
Iter  70 | Loss: -1255.034 | lengthscale: 1.193 | outputscale: 1.634 | noise: 0.111
Iter  80 | Loss: -1263.036 | lengthscale: 1.203 | outputscale: 1.681 | noise: 0.106
Iter  90 | Loss: -1265.785 | lengthscale: 1.212 | outputscale: 1.722 | noise: 0.103
Iter 100 | Loss: -1266.349 | lengthscale: 1.217 | outputscale: 1.748 | noise: 0.102
Iter 110 | Loss: -1266.345 | lengthscale: 1.221 | outputscale: 1.768 | noise: 0.101
Iter 120 | Loss: -1266.296 | lengthscale: 1.223 | outputscale: 1.787 | noise: 0.101
Iter 130 | Loss: -1266.437 | lengthscale: 1.227 | outputscale: 1.798 | noise: 0.101
Iter 140 | Loss: -1266.440 | lengthscale: 1.227 | outputscale: 1.801 | noise: 0.101
Iter 150 | Loss: -1266.465 | lengthscale: 1.228 | outputscale: 1.807 | noise: 0.101
Iter 160 | Loss: -1266.434 | lengthscale: 1.228 | outputscale: 1.802 | noise: 0.102
Iter 170 | Loss: -1266.419 | lengthscale: 1.227 | outputscale: 1.803 | noise: 0.102
Iter 180 | Loss: -1266.360 | lengthscale: 1.226 | outputscale: 1.798 | noise: 0.102
Iter 190 | Loss: -1266.400 | lengthscale: 1.227 | outputscale: 1.803 | noise: 0.102
Iter 200 | Loss: -1266.385 | lengthscale: 1.224 | outputscale: 1.797 | noise: 0.102
Iter 210 | Loss: -1266.438 | lengthscale: 1.227 | outputscale: 1.789 | noise: 0.102
Iter 220 | Loss: -1266.439 | lengthscale: 1.224 | outputscale: 1.798 | noise: 0.102
Iter 230 | Loss: -1266.420 | lengthscale: 1.228 | outputscale: 1.804 | noise: 0.102
Iter 240 | Loss: -1266.373 | lengthscale: 1.227 | outputscale: 1.805 | noise: 0.102
Iter 250 | Loss: -1266.443 | lengthscale: 1.227 | outputscale: 1.798 | noise: 0.102
Iter 260 | Loss: -1266.409 | lengthscale: 1.223 | outputscale: 1.786 | noise: 0.102
Iter 270 | Loss: -1266.404 | lengthscale: 1.223 | outputscale: 1.777 | noise: 0.102
Iter 280 | Loss: -1266.387 | lengthscale: 1.223 | outputscale: 1.777 | noise: 0.102
Iter 290 | Loss: -1266.415 | lengthscale: 1.225 | outputscale: 1.794 | noise: 0.102
Iter 300 | Loss: -1266.397 | lengthscale: 1.229 | outputscale: 1.815 | noise: 0.102
Iter 310 | Loss: -1266.430 | lengthscale: 1.230 | outputscale: 1.816 | noise: 0.102
Iter 320 | Loss: -1266.425 | lengthscale: 1.226 | outputscale: 1.804 | noise: 0.102
Iter 330 | Loss: -1266.400 | lengthscale: 1.229 | outputscale: 1.805 | noise: 0.102
Iter 340 | Loss: -1266.465 | lengthscale: 1.226 | outputscale: 1.809 | noise: 0.102
Iter 350 | Loss: -1266.390 | lengthscale: 1.230 | outputscale: 1.815 | noise: 0.102
Iter 360 | Loss: -1266.374 | lengthscale: 1.232 | outputscale: 1.825 | noise: 0.102
Iter 370 | Loss: -1266.438 | lengthscale: 1.228 | outputscale: 1.820 | noise: 0.102
Iter 380 | Loss: -1266.417 | lengthscale: 1.228 | outputscale: 1.805 | noise: 0.102
Iter 390 | Loss: -1266.410 | lengthscale: 1.225 | outputscale: 1.793 | noise: 0.102
Iter 400 | Loss: -1266.395 | lengthscale: 1.221 | outputscale: 1.783 | noise: 0.102
Iter 410 | Loss: -1266.458 | lengthscale: 1.225 | outputscale: 1.787 | noise: 0.102
Iter 420 | Loss: -1266.358 | lengthscale: 1.227 | outputscale: 1.796 | noise: 0.102
Iter 430 | Loss: -1266.400 | lengthscale: 1.224 | outputscale: 1.793 | noise: 0.102
Iter 440 | Loss: -1266.382 | lengthscale: 1.224 | outputscale: 1.787 | noise: 0.102
Iter 450 | Loss: -1266.384 | lengthscale: 1.224 | outputscale: 1.789 | noise: 0.102
Iter 460 | Loss: -1266.382 | lengthscale: 1.224 | outputscale: 1.787 | noise: 0.102
Iter 470 | Loss: -1266.374 | lengthscale: 1.227 | outputscale: 1.794 | noise: 0.102
Iter 480 | Loss: -1266.368 | lengthscale: 1.225 | outputscale: 1.801 | noise: 0.102
Iter 490 | Loss: -1266.366 | lengthscale: 1.225 | outputscale: 1.790 | noise: 0.102
Iter 500 | Loss: -1266.359 | lengthscale: 1.222 | outputscale: 1.779 | noise: 0.102
Iter 510 | Loss: -1266.445 | lengthscale: 1.222 | outputscale: 1.772 | noise: 0.102
Iter 520 | Loss: -1266.374 | lengthscale: 1.222 | outputscale: 1.776 | noise: 0.102
Iter 530 | Loss: -1266.469 | lengthscale: 1.224 | outputscale: 1.788 | noise: 0.102
Iter 540 | Loss: -1266.440 | lengthscale: 1.229 | outputscale: 1.803 | noise: 0.102
Iter 550 | Loss: -1266.500 | lengthscale: 1.233 | outputscale: 1.824 | noise: 0.102
Iter 560 | Loss: -1266.423 | lengthscale: 1.231 | outputscale: 1.827 | noise: 0.102
Iter 570 | Loss: -1266.388 | lengthscale: 1.230 | outputscale: 1.814 | noise: 0.102
Iter 580 | Loss: -1266.383 | lengthscale: 1.229 | outputscale: 1.812 | noise: 0.102
Iter 590 | Loss: -1266.402 | lengthscale: 1.225 | outputscale: 1.797 | noise: 0.102
Iter 600 | Loss: -1266.434 | lengthscale: 1.223 | outputscale: 1.782 | noise: 0.102
Iter 610 | Loss: -1266.407 | lengthscale: 1.224 | outputscale: 1.785 | noise: 0.102
Iter 620 | Loss: -1266.396 | lengthscale: 1.227 | outputscale: 1.796 | noise: 0.102
Iter 630 | Loss: -1266.400 | lengthscale: 1.230 | outputscale: 1.813 | noise: 0.102
Iter 640 | Loss: -1266.454 | lengthscale: 1.231 | outputscale: 1.830 | noise: 0.102
Iter 650 | Loss: -1266.310 | lengthscale: 1.233 | outputscale: 1.827 | noise: 0.102
Iter 660 | Loss: -1266.439 | lengthscale: 1.230 | outputscale: 1.812 | noise: 0.102
Iter 670 | Loss: -1266.401 | lengthscale: 1.225 | outputscale: 1.809 | noise: 0.102
Iter 680 | Loss: -1266.402 | lengthscale: 1.227 | outputscale: 1.803 | noise: 0.102
Iter 690 | Loss: -1266.402 | lengthscale: 1.228 | outputscale: 1.802 | noise: 0.102
Iter 700 | Loss: -1266.379 | lengthscale: 1.227 | outputscale: 1.803 | noise: 0.102
Iter 710 | Loss: -1266.365 | lengthscale: 1.227 | outputscale: 1.805 | noise: 0.102
Iter 720 | Loss: -1266.395 | lengthscale: 1.226 | outputscale: 1.807 | noise: 0.102
Iter 730 | Loss: -1266.431 | lengthscale: 1.229 | outputscale: 1.806 | noise: 0.102
Iter 740 | Loss: -1266.383 | lengthscale: 1.228 | outputscale: 1.805 | noise: 0.102
Iter 750 | Loss: -1266.353 | lengthscale: 1.226 | outputscale: 1.805 | noise: 0.102
Iter 760 | Loss: -1266.381 | lengthscale: 1.226 | outputscale: 1.796 | noise: 0.102
