Starting imports...
Importing argparse...
Importing torch...
Importing os...
Importing sngp.train and sngp.model...
Importing gaussian_process...
Importing dataset...
Importing json...
ALL IMPORTS COMPLETE!
Parsing arguments...
Arguments parsed! Running GP on Sin with N=1500
Checking CUDA availability...
Using CPU
Making Datasets...
Making Model...
Training Gaussian Process...
Iter   0 | Loss: -815.868 | lengthscale: 1.010 | outputscale: 1.010 | noise: 0.198
Iter  10 | Loss: -924.088 | lengthscale: 1.037 | outputscale: 1.114 | noise: 0.179
Iter  20 | Loss: -1021.803 | lengthscale: 1.071 | outputscale: 1.220 | noise: 0.162
Iter  30 | Loss: -1106.103 | lengthscale: 1.097 | outputscale: 1.318 | noise: 0.148
Iter  40 | Loss: -1174.598 | lengthscale: 1.117 | outputscale: 1.401 | noise: 0.135
Iter  50 | Loss: -1226.062 | lengthscale: 1.131 | outputscale: 1.465 | noise: 0.125
Iter  60 | Loss: -1260.874 | lengthscale: 1.140 | outputscale: 1.510 | noise: 0.116
Iter  70 | Loss: -1281.350 | lengthscale: 1.146 | outputscale: 1.538 | noise: 0.110
Iter  80 | Loss: -1291.387 | lengthscale: 1.146 | outputscale: 1.556 | noise: 0.105
Iter  90 | Loss: -1295.172 | lengthscale: 1.147 | outputscale: 1.561 | noise: 0.102
Iter 100 | Loss: -1296.193 | lengthscale: 1.143 | outputscale: 1.557 | noise: 0.100
Iter 110 | Loss: -1296.299 | lengthscale: 1.140 | outputscale: 1.552 | noise: 0.099
Iter 120 | Loss: -1296.235 | lengthscale: 1.141 | outputscale: 1.546 | noise: 0.099
Iter 130 | Loss: -1296.290 | lengthscale: 1.138 | outputscale: 1.546 | noise: 0.099
Iter 140 | Loss: -1296.266 | lengthscale: 1.142 | outputscale: 1.545 | noise: 0.099
Iter 150 | Loss: -1296.275 | lengthscale: 1.140 | outputscale: 1.546 | noise: 0.099
Iter 160 | Loss: -1296.286 | lengthscale: 1.140 | outputscale: 1.546 | noise: 0.099
Iter 170 | Loss: -1296.256 | lengthscale: 1.139 | outputscale: 1.549 | noise: 0.100
Iter 180 | Loss: -1296.311 | lengthscale: 1.144 | outputscale: 1.549 | noise: 0.100
Iter 190 | Loss: -1296.286 | lengthscale: 1.140 | outputscale: 1.549 | noise: 0.100
Iter 200 | Loss: -1296.304 | lengthscale: 1.142 | outputscale: 1.549 | noise: 0.099
Iter 210 | Loss: -1296.280 | lengthscale: 1.140 | outputscale: 1.548 | noise: 0.099
Iter 220 | Loss: -1296.218 | lengthscale: 1.139 | outputscale: 1.546 | noise: 0.099
Iter 230 | Loss: -1296.235 | lengthscale: 1.140 | outputscale: 1.545 | noise: 0.099
Iter 240 | Loss: -1296.293 | lengthscale: 1.142 | outputscale: 1.546 | noise: 0.099
Iter 250 | Loss: -1296.289 | lengthscale: 1.141 | outputscale: 1.547 | noise: 0.099
Iter 260 | Loss: -1296.308 | lengthscale: 1.143 | outputscale: 1.557 | noise: 0.099
Iter 270 | Loss: -1296.264 | lengthscale: 1.143 | outputscale: 1.563 | noise: 0.099
Iter 280 | Loss: -1296.271 | lengthscale: 1.147 | outputscale: 1.567 | noise: 0.099
Iter 290 | Loss: -1296.240 | lengthscale: 1.143 | outputscale: 1.562 | noise: 0.099
Iter 300 | Loss: -1296.279 | lengthscale: 1.143 | outputscale: 1.553 | noise: 0.099
Iter 310 | Loss: -1296.354 | lengthscale: 1.140 | outputscale: 1.546 | noise: 0.099
Iter 320 | Loss: -1296.293 | lengthscale: 1.140 | outputscale: 1.542 | noise: 0.099
