Starting imports...
Importing argparse...
Importing torch...
Importing os...
Importing sngp.train and sngp.model...
Importing gaussian_process...
Importing dataset...
Importing json...
ALL IMPORTS COMPLETE!
Parsing arguments...
Arguments parsed! Running GP on Sin with N=1500
Checking CUDA availability...
Using CPU
Making Datasets...
Making Model...
Training Gaussian Process...
Iter   0 | Loss: -811.824 | lengthscale: 1.010 | outputscale: 1.010 | noise: 0.198
Iter  10 | Loss: -919.188 | lengthscale: 1.049 | outputscale: 1.115 | noise: 0.179
Iter  20 | Loss: -1015.841 | lengthscale: 1.081 | outputscale: 1.223 | noise: 0.163
Iter  30 | Loss: -1098.850 | lengthscale: 1.111 | outputscale: 1.329 | noise: 0.148
Iter  40 | Loss: -1165.826 | lengthscale: 1.139 | outputscale: 1.427 | noise: 0.135
Iter  50 | Loss: -1215.559 | lengthscale: 1.160 | outputscale: 1.516 | noise: 0.125
Iter  60 | Loss: -1248.681 | lengthscale: 1.180 | outputscale: 1.593 | noise: 0.117
Iter  70 | Loss: -1267.770 | lengthscale: 1.196 | outputscale: 1.660 | noise: 0.110
Iter  80 | Loss: -1276.781 | lengthscale: 1.205 | outputscale: 1.717 | noise: 0.106
Iter  90 | Loss: -1279.981 | lengthscale: 1.217 | outputscale: 1.768 | noise: 0.103
Iter 100 | Loss: -1280.759 | lengthscale: 1.226 | outputscale: 1.805 | noise: 0.101
Iter 110 | Loss: -1280.894 | lengthscale: 1.230 | outputscale: 1.837 | noise: 0.100
Iter 120 | Loss: -1280.797 | lengthscale: 1.236 | outputscale: 1.859 | noise: 0.100
Iter 130 | Loss: -1280.822 | lengthscale: 1.238 | outputscale: 1.870 | noise: 0.100
Iter 140 | Loss: -1280.877 | lengthscale: 1.238 | outputscale: 1.874 | noise: 0.100
Iter 150 | Loss: -1280.892 | lengthscale: 1.239 | outputscale: 1.882 | noise: 0.100
Iter 160 | Loss: -1280.808 | lengthscale: 1.241 | outputscale: 1.887 | noise: 0.101
Iter 170 | Loss: -1280.771 | lengthscale: 1.239 | outputscale: 1.889 | noise: 0.101
Iter 180 | Loss: -1280.814 | lengthscale: 1.240 | outputscale: 1.881 | noise: 0.101
Iter 190 | Loss: -1280.794 | lengthscale: 1.242 | outputscale: 1.878 | noise: 0.101
Iter 200 | Loss: -1280.900 | lengthscale: 1.233 | outputscale: 1.867 | noise: 0.101
Iter 210 | Loss: -1280.806 | lengthscale: 1.237 | outputscale: 1.865 | noise: 0.101
Iter 220 | Loss: -1280.777 | lengthscale: 1.237 | outputscale: 1.866 | noise: 0.101
Iter 230 | Loss: -1280.838 | lengthscale: 1.236 | outputscale: 1.871 | noise: 0.101
Iter 240 | Loss: -1280.842 | lengthscale: 1.239 | outputscale: 1.874 | noise: 0.101
Iter 250 | Loss: -1280.798 | lengthscale: 1.236 | outputscale: 1.868 | noise: 0.101
Iter 260 | Loss: -1280.792 | lengthscale: 1.237 | outputscale: 1.856 | noise: 0.101
Iter 270 | Loss: -1280.846 | lengthscale: 1.234 | outputscale: 1.860 | noise: 0.101
Iter 280 | Loss: -1280.913 | lengthscale: 1.237 | outputscale: 1.866 | noise: 0.101
Iter 290 | Loss: -1280.888 | lengthscale: 1.237 | outputscale: 1.867 | noise: 0.101
Iter 300 | Loss: -1280.858 | lengthscale: 1.237 | outputscale: 1.870 | noise: 0.101
Iter 310 | Loss: -1280.820 | lengthscale: 1.238 | outputscale: 1.874 | noise: 0.101
Iter 320 | Loss: -1280.877 | lengthscale: 1.238 | outputscale: 1.873 | noise: 0.101
Iter 330 | Loss: -1280.810 | lengthscale: 1.240 | outputscale: 1.881 | noise: 0.101
Iter 340 | Loss: -1280.851 | lengthscale: 1.239 | outputscale: 1.888 | noise: 0.101
Iter 350 | Loss: -1280.822 | lengthscale: 1.239 | outputscale: 1.874 | noise: 0.101
Iter 360 | Loss: -1280.840 | lengthscale: 1.240 | outputscale: 1.878 | noise: 0.101
Iter 370 | Loss: -1280.800 | lengthscale: 1.241 | outputscale: 1.890 | noise: 0.101
