Starting imports...
Importing argparse...
Importing torch...
Importing os...
Importing sngp.train and sngp.model...
Importing gaussian_process...
Importing dataset...
Importing json...
ALL IMPORTS COMPLETE!
Parsing arguments...
Arguments parsed! Running GP on CrazySin with N=1500
Checking CUDA availability...
Using CPU
Making Datasets...
Making Model...
Training Gaussian Process...
Iter 630 | Loss: -1020.691 | lengthscale: 0.292 | outputscale: 3.345 | noise: 0.148
Iter 640 | Loss: -1033.205 | lengthscale: 0.292 | outputscale: 3.344 | noise: 0.145
Iter 650 | Loss: -1045.229 | lengthscale: 0.292 | outputscale: 3.343 | noise: 0.143
Iter 660 | Loss: -1056.713 | lengthscale: 0.292 | outputscale: 3.342 | noise: 0.141
Iter 670 | Loss: -1067.642 | lengthscale: 0.292 | outputscale: 3.341 | noise: 0.139
Iter 680 | Loss: -1078.144 | lengthscale: 0.292 | outputscale: 3.339 | noise: 0.137
Iter 690 | Loss: -1088.078 | lengthscale: 0.291 | outputscale: 3.337 | noise: 0.135
Iter 700 | Loss: -1097.512 | lengthscale: 0.291 | outputscale: 3.336 | noise: 0.133
Iter 710 | Loss: -1106.423 | lengthscale: 0.291 | outputscale: 3.334 | noise: 0.131
Iter 720 | Loss: -1114.852 | lengthscale: 0.291 | outputscale: 3.332 | noise: 0.130
Iter 730 | Loss: -1122.762 | lengthscale: 0.291 | outputscale: 3.329 | noise: 0.128
Iter 740 | Loss: -1130.208 | lengthscale: 0.291 | outputscale: 3.327 | noise: 0.126
Iter 750 | Loss: -1137.121 | lengthscale: 0.290 | outputscale: 3.325 | noise: 0.125
Iter 760 | Loss: -1143.640 | lengthscale: 0.290 | outputscale: 3.322 | noise: 0.123
Iter 770 | Loss: -1149.635 | lengthscale: 0.290 | outputscale: 3.320 | noise: 0.122
Iter 780 | Loss: -1155.237 | lengthscale: 0.290 | outputscale: 3.317 | noise: 0.120
Iter 790 | Loss: -1160.410 | lengthscale: 0.290 | outputscale: 3.314 | noise: 0.119
Iter 800 | Loss: -1165.188 | lengthscale: 0.290 | outputscale: 3.311 | noise: 0.118
Iter 810 | Loss: -1169.577 | lengthscale: 0.290 | outputscale: 3.308 | noise: 0.117
Iter 820 | Loss: -1173.516 | lengthscale: 0.290 | outputscale: 3.305 | noise: 0.116
Iter 830 | Loss: -1177.222 | lengthscale: 0.290 | outputscale: 3.302 | noise: 0.115
Iter 840 | Loss: -1180.542 | lengthscale: 0.289 | outputscale: 3.299 | noise: 0.114
Iter 850 | Loss: -1183.603 | lengthscale: 0.289 | outputscale: 3.295 | noise: 0.113
Iter 860 | Loss: -1186.406 | lengthscale: 0.289 | outputscale: 3.292 | noise: 0.112
Iter 870 | Loss: -1188.862 | lengthscale: 0.289 | outputscale: 3.288 | noise: 0.111
Iter 880 | Loss: -1191.098 | lengthscale: 0.289 | outputscale: 3.285 | noise: 0.110
Iter 890 | Loss: -1193.087 | lengthscale: 0.289 | outputscale: 3.281 | noise: 0.109
Iter 900 | Loss: -1194.860 | lengthscale: 0.289 | outputscale: 3.277 | noise: 0.108
Iter 910 | Loss: -1196.546 | lengthscale: 0.289 | outputscale: 3.274 | noise: 0.108
Iter 920 | Loss: -1197.921 | lengthscale: 0.288 | outputscale: 3.270 | noise: 0.107
Iter 930 | Loss: -1199.195 | lengthscale: 0.288 | outputscale: 3.266 | noise: 0.107
Iter 940 | Loss: -1200.347 | lengthscale: 0.288 | outputscale: 3.262 | noise: 0.106
Iter 950 | Loss: -1201.338 | lengthscale: 0.288 | outputscale: 3.258 | noise: 0.105
Iter 960 | Loss: -1202.239 | lengthscale: 0.288 | outputscale: 3.254 | noise: 0.105
Iter 970 | Loss: -1202.997 | lengthscale: 0.288 | outputscale: 3.249 | noise: 0.104
Iter 980 | Loss: -1203.626 | lengthscale: 0.288 | outputscale: 3.245 | noise: 0.104
Iter 990 | Loss: -1204.230 | lengthscale: 0.288 | outputscale: 3.241 | noise: 0.104
Iter 1000 | Loss: -1204.710 | lengthscale: 0.288 | outputscale: 3.237 | noise: 0.103
Iter 1010 | Loss: -1205.167 | lengthscale: 0.288 | outputscale: 3.232 | noise: 0.103
Iter 1020 | Loss: -1205.630 | lengthscale: 0.287 | outputscale: 3.228 | noise: 0.102
Iter 1030 | Loss: -1205.803 | lengthscale: 0.287 | outputscale: 3.224 | noise: 0.102
Iter 1040 | Loss: -1206.226 | lengthscale: 0.287 | outputscale: 3.219 | noise: 0.102
Iter 1050 | Loss: -1206.480 | lengthscale: 0.287 | outputscale: 3.215 | noise: 0.102
Iter 1060 | Loss: -1206.653 | lengthscale: 0.287 | outputscale: 3.210 | noise: 0.101
Iter 1070 | Loss: -1206.846 | lengthscale: 0.287 | outputscale: 3.206 | noise: 0.101
Iter 1080 | Loss: -1207.057 | lengthscale: 0.287 | outputscale: 3.201 | noise: 0.101
Iter 1090 | Loss: -1207.191 | lengthscale: 0.287 | outputscale: 3.197 | noise: 0.101
Iter 1100 | Loss: -1207.260 | lengthscale: 0.286 | outputscale: 3.192 | noise: 0.101
Iter 1110 | Loss: -1207.314 | lengthscale: 0.286 | outputscale: 3.187 | noise: 0.100
Iter 1120 | Loss: -1207.427 | lengthscale: 0.286 | outputscale: 3.182 | noise: 0.100
Iter 1130 | Loss: -1207.485 | lengthscale: 0.286 | outputscale: 3.178 | noise: 0.100
Iter 1140 | Loss: -1207.620 | lengthscale: 0.286 | outputscale: 3.173 | noise: 0.100
Iter 1150 | Loss: -1207.751 | lengthscale: 0.286 | outputscale: 3.168 | noise: 0.100
Iter 1160 | Loss: -1207.788 | lengthscale: 0.286 | outputscale: 3.163 | noise: 0.100
Iter 1170 | Loss: -1207.740 | lengthscale: 0.286 | outputscale: 3.158 | noise: 0.100
Iter 1180 | Loss: -1207.718 | lengthscale: 0.286 | outputscale: 3.153 | noise: 0.099
Iter 1190 | Loss: -1207.765 | lengthscale: 0.285 | outputscale: 3.148 | noise: 0.099
Iter 1200 | Loss: -1207.862 | lengthscale: 0.285 | outputscale: 3.143 | noise: 0.099
Iter 1210 | Loss: -1207.878 | lengthscale: 0.285 | outputscale: 3.139 | noise: 0.099
Iter 1220 | Loss: -1207.822 | lengthscale: 0.285 | outputscale: 3.134 | noise: 0.099
Iter 1230 | Loss: -1207.841 | lengthscale: 0.285 | outputscale: 3.129 | noise: 0.099
Iter 1240 | Loss: -1207.890 | lengthscale: 0.285 | outputscale: 3.125 | noise: 0.099
Iter 1250 | Loss: -1207.905 | lengthscale: 0.285 | outputscale: 3.120 | noise: 0.099
Iter 1260 | Loss: -1207.977 | lengthscale: 0.285 | outputscale: 3.115 | noise: 0.099
Iter 1270 | Loss: -1207.984 | lengthscale: 0.285 | outputscale: 3.110 | noise: 0.099
Iter 1280 | Loss: -1208.036 | lengthscale: 0.284 | outputscale: 3.105 | noise: 0.099
