Starting imports...
Importing argparse...
Importing torch...
Importing os...
Importing sngp.train and sngp.model...
Importing gaussian_process...
Importing dataset...
Importing json...
ALL IMPORTS COMPLETE!
Parsing arguments...
Arguments parsed! Running GP on Friedman with N=1500
Checking CUDA availability...
Using CPU
Making Datasets...
Making Model...
Training Gaussian Process...
Iter 620 | Loss:  351.507 | lengthscale: 90.915 | outputscale: 0.751 | noise: 0.286
Iter 630 | Loss:  350.195 | lengthscale: 92.651 | outputscale: 0.753 | noise: 0.286
Iter 640 | Loss:  348.922 | lengthscale: 94.401 | outputscale: 0.755 | noise: 0.286
Iter 650 | Loss:  347.682 | lengthscale: 96.168 | outputscale: 0.757 | noise: 0.286
Iter 660 | Loss:  346.474 | lengthscale: 97.954 | outputscale: 0.759 | noise: 0.286
Iter 670 | Loss:  345.301 | lengthscale: 99.756 | outputscale: 0.761 | noise: 0.287
Iter 680 | Loss:  344.163 | lengthscale: 101.573 | outputscale: 0.763 | noise: 0.287
Iter 690 | Loss:  343.067 | lengthscale: 103.400 | outputscale: 0.765 | noise: 0.287
Iter 700 | Loss:  342.014 | lengthscale: 105.232 | outputscale: 0.767 | noise: 0.287
Iter 710 | Loss:  341.005 | lengthscale: 107.064 | outputscale: 0.769 | noise: 0.287
Iter 720 | Loss:  340.042 | lengthscale: 108.895 | outputscale: 0.772 | noise: 0.287
Iter 730 | Loss:  339.124 | lengthscale: 110.721 | outputscale: 0.774 | noise: 0.287
Iter 740 | Loss:  338.245 | lengthscale: 112.544 | outputscale: 0.776 | noise: 0.287
Iter 750 | Loss:  337.401 | lengthscale: 114.366 | outputscale: 0.779 | noise: 0.287
Iter 760 | Loss:  336.586 | lengthscale: 116.191 | outputscale: 0.781 | noise: 0.287
Iter 770 | Loss:  335.796 | lengthscale: 118.022 | outputscale: 0.784 | noise: 0.287
Iter 780 | Loss:  335.025 | lengthscale: 119.866 | outputscale: 0.786 | noise: 0.287
Iter 790 | Loss:  334.269 | lengthscale: 121.727 | outputscale: 0.788 | noise: 0.287
Iter 800 | Loss:  333.525 | lengthscale: 123.609 | outputscale: 0.791 | noise: 0.287
Iter 810 | Loss:  332.790 | lengthscale: 125.517 | outputscale: 0.793 | noise: 0.288
Iter 820 | Loss:  332.061 | lengthscale: 127.452 | outputscale: 0.796 | noise: 0.288
Iter 830 | Loss:  331.340 | lengthscale: 129.416 | outputscale: 0.798 | noise: 0.288
Iter 840 | Loss:  330.626 | lengthscale: 131.410 | outputscale: 0.800 | noise: 0.288
Iter 850 | Loss:  329.918 | lengthscale: 133.434 | outputscale: 0.803 | noise: 0.288
Iter 860 | Loss:  329.218 | lengthscale: 135.487 | outputscale: 0.805 | noise: 0.288
Iter 870 | Loss:  328.525 | lengthscale: 137.570 | outputscale: 0.807 | noise: 0.288
Iter 880 | Loss:  327.840 | lengthscale: 139.682 | outputscale: 0.810 | noise: 0.288
Iter 890 | Loss:  327.162 | lengthscale: 141.823 | outputscale: 0.812 | noise: 0.288
Iter 900 | Loss:  326.491 | lengthscale: 143.996 | outputscale: 0.814 | noise: 0.288
Iter 910 | Loss:  325.827 | lengthscale: 146.200 | outputscale: 0.816 | noise: 0.288
Iter 920 | Loss:  325.167 | lengthscale: 148.438 | outputscale: 0.819 | noise: 0.288
Iter 930 | Loss:  324.512 | lengthscale: 150.711 | outputscale: 0.821 | noise: 0.288
Iter 940 | Loss:  323.862 | lengthscale: 153.020 | outputscale: 0.823 | noise: 0.288
Iter 950 | Loss:  323.217 | lengthscale: 155.365 | outputscale: 0.826 | noise: 0.288
Iter 960 | Loss:  322.575 | lengthscale: 157.748 | outputscale: 0.828 | noise: 0.288
Iter 970 | Loss:  321.938 | lengthscale: 160.166 | outputscale: 0.830 | noise: 0.288
Iter 980 | Loss:  321.310 | lengthscale: 162.619 | outputscale: 0.833 | noise: 0.288
Iter 990 | Loss:  320.688 | lengthscale: 165.105 | outputscale: 0.835 | noise: 0.288
Iter 1000 | Loss:  320.077 | lengthscale: 167.620 | outputscale: 0.838 | noise: 0.288
Iter 1010 | Loss:  319.475 | lengthscale: 170.162 | outputscale: 0.840 | noise: 0.288
Iter 1020 | Loss:  318.885 | lengthscale: 172.726 | outputscale: 0.843 | noise: 0.288
Iter 1030 | Loss:  318.311 | lengthscale: 175.310 | outputscale: 0.845 | noise: 0.288
Iter 1040 | Loss:  317.750 | lengthscale: 177.909 | outputscale: 0.848 | noise: 0.288
Iter 1050 | Loss:  317.202 | lengthscale: 180.519 | outputscale: 0.850 | noise: 0.288
Iter 1060 | Loss:  316.673 | lengthscale: 183.138 | outputscale: 0.853 | noise: 0.288
Iter 1070 | Loss:  316.159 | lengthscale: 185.762 | outputscale: 0.856 | noise: 0.288
Iter 1080 | Loss:  315.662 | lengthscale: 188.386 | outputscale: 0.859 | noise: 0.288
Iter 1090 | Loss:  315.186 | lengthscale: 191.008 | outputscale: 0.861 | noise: 0.288
Iter 1100 | Loss:  314.727 | lengthscale: 193.624 | outputscale: 0.864 | noise: 0.288
Iter 1110 | Loss:  314.285 | lengthscale: 196.229 | outputscale: 0.867 | noise: 0.288
Iter 1120 | Loss:  313.862 | lengthscale: 198.822 | outputscale: 0.870 | noise: 0.288
