Starting imports...
Importing argparse...
Importing torch...
Importing os...
Importing sngp.train and sngp.model...
Importing gaussian_process...
Importing dataset...
Importing json...
ALL IMPORTS COMPLETE!
Parsing arguments...
Arguments parsed! Running GP on Sin with N=1500
Checking CUDA availability...
Using CPU
Making Datasets...
Making Model...
Training Gaussian Process...
Iter   0 | Loss: -811.267 | lengthscale: 1.010 | outputscale: 1.010 | noise: 0.198
Iter  10 | Loss: -918.357 | lengthscale: 1.046 | outputscale: 1.114 | noise: 0.179
Iter  20 | Loss: -1014.641 | lengthscale: 1.073 | outputscale: 1.216 | noise: 0.163
Iter  30 | Loss: -1097.166 | lengthscale: 1.095 | outputscale: 1.302 | noise: 0.148
Iter  40 | Loss: -1163.576 | lengthscale: 1.109 | outputscale: 1.362 | noise: 0.135
Iter  50 | Loss: -1212.756 | lengthscale: 1.115 | outputscale: 1.394 | noise: 0.125
Iter  60 | Loss: -1245.311 | lengthscale: 1.117 | outputscale: 1.403 | noise: 0.117
Iter  70 | Loss: -1263.927 | lengthscale: 1.116 | outputscale: 1.400 | noise: 0.110
Iter  80 | Loss: -1272.583 | lengthscale: 1.114 | outputscale: 1.390 | noise: 0.106
Iter  90 | Loss: -1275.561 | lengthscale: 1.111 | outputscale: 1.378 | noise: 0.103
Iter 100 | Loss: -1276.296 | lengthscale: 1.110 | outputscale: 1.371 | noise: 0.101
Iter 110 | Loss: -1276.331 | lengthscale: 1.109 | outputscale: 1.369 | noise: 0.101
Iter 120 | Loss: -1276.308 | lengthscale: 1.111 | outputscale: 1.373 | noise: 0.100
Iter 130 | Loss: -1276.316 | lengthscale: 1.110 | outputscale: 1.376 | noise: 0.101
Iter 140 | Loss: -1276.318 | lengthscale: 1.111 | outputscale: 1.377 | noise: 0.101
Iter 150 | Loss: -1276.359 | lengthscale: 1.110 | outputscale: 1.375 | noise: 0.101
Iter 160 | Loss: -1276.336 | lengthscale: 1.109 | outputscale: 1.366 | noise: 0.101
Iter 170 | Loss: -1276.343 | lengthscale: 1.109 | outputscale: 1.363 | noise: 0.101
Iter 180 | Loss: -1276.361 | lengthscale: 1.108 | outputscale: 1.363 | noise: 0.101
Iter 190 | Loss: -1276.362 | lengthscale: 1.108 | outputscale: 1.363 | noise: 0.101
Iter 200 | Loss: -1276.321 | lengthscale: 1.109 | outputscale: 1.372 | noise: 0.101
Iter 210 | Loss: -1276.381 | lengthscale: 1.111 | outputscale: 1.378 | noise: 0.101
Iter 220 | Loss: -1276.353 | lengthscale: 1.111 | outputscale: 1.374 | noise: 0.101
Iter 230 | Loss: -1276.351 | lengthscale: 1.109 | outputscale: 1.369 | noise: 0.101
Iter 240 | Loss: -1276.376 | lengthscale: 1.108 | outputscale: 1.367 | noise: 0.101
Iter 250 | Loss: -1276.338 | lengthscale: 1.108 | outputscale: 1.370 | noise: 0.101
Iter 260 | Loss: -1276.342 | lengthscale: 1.110 | outputscale: 1.372 | noise: 0.101
Iter 270 | Loss: -1276.373 | lengthscale: 1.110 | outputscale: 1.369 | noise: 0.101
Iter 280 | Loss: -1276.354 | lengthscale: 1.111 | outputscale: 1.370 | noise: 0.101
Iter 290 | Loss: -1276.367 | lengthscale: 1.109 | outputscale: 1.367 | noise: 0.101
Iter 300 | Loss: -1276.360 | lengthscale: 1.109 | outputscale: 1.367 | noise: 0.101
Iter 310 | Loss: -1276.343 | lengthscale: 1.108 | outputscale: 1.369 | noise: 0.101
Iter 320 | Loss: -1276.364 | lengthscale: 1.109 | outputscale: 1.369 | noise: 0.101
Iter 330 | Loss: -1276.355 | lengthscale: 1.109 | outputscale: 1.364 | noise: 0.101
Iter 340 | Loss: -1276.339 | lengthscale: 1.110 | outputscale: 1.368 | noise: 0.101
Iter 350 | Loss: -1276.376 | lengthscale: 1.111 | outputscale: 1.375 | noise: 0.101
Iter 360 | Loss: -1276.327 | lengthscale: 1.109 | outputscale: 1.367 | noise: 0.101
Iter 370 | Loss: -1276.330 | lengthscale: 1.109 | outputscale: 1.363 | noise: 0.101
Iter 380 | Loss: -1276.363 | lengthscale: 1.109 | outputscale: 1.365 | noise: 0.101
Iter 390 | Loss: -1276.374 | lengthscale: 1.108 | outputscale: 1.364 | noise: 0.101
Iter 400 | Loss: -1276.350 | lengthscale: 1.108 | outputscale: 1.366 | noise: 0.101
Iter 410 | Loss: -1276.351 | lengthscale: 1.109 | outputscale: 1.367 | noise: 0.101
Iter 420 | Loss: -1276.371 | lengthscale: 1.108 | outputscale: 1.370 | noise: 0.101
Iter 430 | Loss: -1276.359 | lengthscale: 1.109 | outputscale: 1.372 | noise: 0.101
Iter 440 | Loss: -1276.344 | lengthscale: 1.109 | outputscale: 1.375 | noise: 0.101
Iter 450 | Loss: -1276.369 | lengthscale: 1.109 | outputscale: 1.372 | noise: 0.101
Iter 460 | Loss: -1276.353 | lengthscale: 1.109 | outputscale: 1.369 | noise: 0.101
Iter 470 | Loss: -1276.384 | lengthscale: 1.110 | outputscale: 1.368 | noise: 0.101
Iter 480 | Loss: -1276.371 | lengthscale: 1.108 | outputscale: 1.363 | noise: 0.101
Iter 490 | Loss: -1276.367 | lengthscale: 1.109 | outputscale: 1.370 | noise: 0.101
Iter 500 | Loss: -1276.341 | lengthscale: 1.109 | outputscale: 1.371 | noise: 0.101
Iter 510 | Loss: -1276.360 | lengthscale: 1.108 | outputscale: 1.370 | noise: 0.101
Iter 520 | Loss: -1276.323 | lengthscale: 1.109 | outputscale: 1.370 | noise: 0.101
Iter 530 | Loss: -1276.345 | lengthscale: 1.109 | outputscale: 1.371 | noise: 0.101
Iter 540 | Loss: -1276.312 | lengthscale: 1.108 | outputscale: 1.375 | noise: 0.101
Iter 550 | Loss: -1276.359 | lengthscale: 1.110 | outputscale: 1.374 | noise: 0.101
Iter 560 | Loss: -1276.369 | lengthscale: 1.109 | outputscale: 1.371 | noise: 0.101
Iter 570 | Loss: -1276.384 | lengthscale: 1.109 | outputscale: 1.368 | noise: 0.101
Iter 580 | Loss: -1276.337 | lengthscale: 1.109 | outputscale: 1.369 | noise: 0.101
Iter 590 | Loss: -1276.340 | lengthscale: 1.109 | outputscale: 1.370 | noise: 0.101
Iter 600 | Loss: -1276.385 | lengthscale: 1.108 | outputscale: 1.365 | noise: 0.101
Iter 610 | Loss: -1276.360 | lengthscale: 1.108 | outputscale: 1.367 | noise: 0.101
Iter 620 | Loss: -1276.354 | lengthscale: 1.109 | outputscale: 1.369 | noise: 0.101
Iter 630 | Loss: -1276.349 | lengthscale: 1.108 | outputscale: 1.369 | noise: 0.101
Iter 640 | Loss: -1276.344 | lengthscale: 1.107 | outputscale: 1.362 | noise: 0.101
Iter 650 | Loss: -1276.313 | lengthscale: 1.110 | outputscale: 1.376 | noise: 0.101
Iter 660 | Loss: -1276.334 | lengthscale: 1.113 | outputscale: 1.381 | noise: 0.101
Iter 670 | Loss: -1276.363 | lengthscale: 1.110 | outputscale: 1.371 | noise: 0.101
Iter 680 | Loss: -1276.369 | lengthscale: 1.109 | outputscale: 1.367 | noise: 0.101
Iter 690 | Loss: -1276.375 | lengthscale: 1.108 | outputscale: 1.364 | noise: 0.101
Iter 700 | Loss: -1276.358 | lengthscale: 1.108 | outputscale: 1.366 | noise: 0.101
