Starting imports...
Importing argparse...
Importing torch...
Importing os...
Importing sngp.train and sngp.model...
Importing gaussian_process...
Importing dataset...
Importing json...
ALL IMPORTS COMPLETE!
Parsing arguments...
Arguments parsed! Running GP on Sin with N=1500
Checking CUDA availability...
Using CPU
Making Datasets...
Making Model...
Training Gaussian Process...
Iter   0 | Loss: -812.778 | lengthscale: 1.010 | outputscale: 1.010 | noise: 0.198
Iter  10 | Loss: -920.352 | lengthscale: 1.049 | outputscale: 1.115 | noise: 0.179
Iter  20 | Loss: -1017.237 | lengthscale: 1.084 | outputscale: 1.223 | noise: 0.163
Iter  30 | Loss: -1100.492 | lengthscale: 1.116 | outputscale: 1.327 | noise: 0.148
Iter  40 | Loss: -1167.764 | lengthscale: 1.142 | outputscale: 1.420 | noise: 0.135
Iter  50 | Loss: -1217.850 | lengthscale: 1.162 | outputscale: 1.500 | noise: 0.125
Iter  60 | Loss: -1251.289 | lengthscale: 1.178 | outputscale: 1.564 | noise: 0.117
Iter  70 | Loss: -1270.559 | lengthscale: 1.191 | outputscale: 1.615 | noise: 0.110
Iter  80 | Loss: -1279.766 | lengthscale: 1.199 | outputscale: 1.653 | noise: 0.106
Iter  90 | Loss: -1283.096 | lengthscale: 1.204 | outputscale: 1.680 | noise: 0.103
Iter 100 | Loss: -1283.930 | lengthscale: 1.208 | outputscale: 1.696 | noise: 0.101
Iter 110 | Loss: -1283.966 | lengthscale: 1.210 | outputscale: 1.708 | noise: 0.100
Iter 120 | Loss: -1283.930 | lengthscale: 1.215 | outputscale: 1.725 | noise: 0.100
Iter 130 | Loss: -1283.958 | lengthscale: 1.215 | outputscale: 1.740 | noise: 0.100
Iter 140 | Loss: -1283.866 | lengthscale: 1.219 | outputscale: 1.739 | noise: 0.100
Iter 150 | Loss: -1283.933 | lengthscale: 1.215 | outputscale: 1.733 | noise: 0.100
Iter 160 | Loss: -1283.951 | lengthscale: 1.215 | outputscale: 1.727 | noise: 0.100
Iter 170 | Loss: -1283.917 | lengthscale: 1.215 | outputscale: 1.734 | noise: 0.100
Iter 180 | Loss: -1283.930 | lengthscale: 1.217 | outputscale: 1.732 | noise: 0.100
