Starting imports...
Importing argparse...
Importing torch...
Importing os...
Importing sngp.train and sngp.model...
Importing gaussian_process...
Importing dataset...
Importing json...
ALL IMPORTS COMPLETE!
Parsing arguments...
Arguments parsed! Running GP on Sin with N=1500
Checking CUDA availability...
Using CPU
Making Datasets...
Making Model...
Training Gaussian Process...
Iter   0 | Loss: -819.870 | lengthscale: 1.010 | outputscale: 1.010 | noise: 0.198
Iter  10 | Loss: -929.041 | lengthscale: 1.055 | outputscale: 1.116 | noise: 0.179
Iter  20 | Loss: -1027.919 | lengthscale: 1.099 | outputscale: 1.226 | noise: 0.162
Iter  30 | Loss: -1113.651 | lengthscale: 1.131 | outputscale: 1.335 | noise: 0.148
Iter  40 | Loss: -1183.843 | lengthscale: 1.159 | outputscale: 1.440 | noise: 0.135
Iter  50 | Loss: -1237.107 | lengthscale: 1.185 | outputscale: 1.537 | noise: 0.125
Iter  60 | Loss: -1273.724 | lengthscale: 1.207 | outputscale: 1.626 | noise: 0.116
Iter  70 | Loss: -1295.865 | lengthscale: 1.226 | outputscale: 1.706 | noise: 0.109
Iter  80 | Loss: -1307.040 | lengthscale: 1.242 | outputscale: 1.778 | noise: 0.105
Iter  90 | Loss: -1311.515 | lengthscale: 1.256 | outputscale: 1.839 | noise: 0.101
Iter 100 | Loss: -1312.791 | lengthscale: 1.264 | outputscale: 1.888 | noise: 0.099
Iter 110 | Loss: -1313.033 | lengthscale: 1.273 | outputscale: 1.931 | noise: 0.098
Iter 120 | Loss: -1312.966 | lengthscale: 1.283 | outputscale: 1.968 | noise: 0.098
Iter 130 | Loss: -1312.973 | lengthscale: 1.287 | outputscale: 2.001 | noise: 0.098
Iter 140 | Loss: -1312.998 | lengthscale: 1.291 | outputscale: 2.030 | noise: 0.098
Iter 150 | Loss: -1313.063 | lengthscale: 1.292 | outputscale: 2.050 | noise: 0.098
Iter 160 | Loss: -1312.975 | lengthscale: 1.296 | outputscale: 2.052 | noise: 0.098
Iter 170 | Loss: -1313.050 | lengthscale: 1.296 | outputscale: 2.061 | noise: 0.098
