Starting imports...
Importing argparse...
Importing torch...
Importing os...
Importing sngp.train and sngp.model...
Importing gaussian_process...
Importing dataset...
Importing json...
ALL IMPORTS COMPLETE!
Parsing arguments...
Arguments parsed! Running GP on Sin with N=1500
Checking CUDA availability...
Using CPU
Making Datasets...
Making Model...
Training Gaussian Process...
Iter   0 | Loss: -798.989 | lengthscale: 1.010 | outputscale: 1.010 | noise: 0.198
Iter  10 | Loss: -903.487 | lengthscale: 1.066 | outputscale: 1.117 | noise: 0.179
Iter  20 | Loss: -996.500 | lengthscale: 1.103 | outputscale: 1.226 | noise: 0.163
Iter  30 | Loss: -1074.998 | lengthscale: 1.131 | outputscale: 1.332 | noise: 0.148
Iter  40 | Loss: -1136.671 | lengthscale: 1.161 | outputscale: 1.429 | noise: 0.136
Iter  50 | Loss: -1180.703 | lengthscale: 1.184 | outputscale: 1.513 | noise: 0.125
Iter  60 | Loss: -1208.284 | lengthscale: 1.201 | outputscale: 1.584 | noise: 0.117
Iter  70 | Loss: -1222.758 | lengthscale: 1.215 | outputscale: 1.642 | noise: 0.112
Iter  80 | Loss: -1228.735 | lengthscale: 1.225 | outputscale: 1.689 | noise: 0.108
Iter  90 | Loss: -1230.397 | lengthscale: 1.233 | outputscale: 1.728 | noise: 0.105
Iter 100 | Loss: -1230.665 | lengthscale: 1.239 | outputscale: 1.755 | noise: 0.104
Iter 110 | Loss: -1230.546 | lengthscale: 1.243 | outputscale: 1.771 | noise: 0.104
Iter 120 | Loss: -1230.682 | lengthscale: 1.244 | outputscale: 1.782 | noise: 0.104
Iter 130 | Loss: -1230.643 | lengthscale: 1.244 | outputscale: 1.781 | noise: 0.104
Iter 140 | Loss: -1230.634 | lengthscale: 1.244 | outputscale: 1.782 | noise: 0.104
Iter 150 | Loss: -1230.609 | lengthscale: 1.246 | outputscale: 1.788 | noise: 0.104
Iter 160 | Loss: -1230.661 | lengthscale: 1.246 | outputscale: 1.790 | noise: 0.104
Iter 170 | Loss: -1230.589 | lengthscale: 1.245 | outputscale: 1.790 | noise: 0.104
Iter 180 | Loss: -1230.662 | lengthscale: 1.247 | outputscale: 1.796 | noise: 0.104
Iter 190 | Loss: -1230.627 | lengthscale: 1.248 | outputscale: 1.800 | noise: 0.104
Iter 200 | Loss: -1230.654 | lengthscale: 1.247 | outputscale: 1.799 | noise: 0.104
Iter 210 | Loss: -1230.710 | lengthscale: 1.244 | outputscale: 1.787 | noise: 0.104
Iter 220 | Loss: -1230.651 | lengthscale: 1.243 | outputscale: 1.783 | noise: 0.104
Iter 230 | Loss: -1230.698 | lengthscale: 1.245 | outputscale: 1.785 | noise: 0.104
Iter 240 | Loss: -1230.702 | lengthscale: 1.245 | outputscale: 1.783 | noise: 0.104
Iter 250 | Loss: -1230.663 | lengthscale: 1.244 | outputscale: 1.780 | noise: 0.104
Iter 260 | Loss: -1230.664 | lengthscale: 1.244 | outputscale: 1.786 | noise: 0.104
Iter 270 | Loss: -1230.656 | lengthscale: 1.246 | outputscale: 1.799 | noise: 0.104
Iter 280 | Loss: -1230.654 | lengthscale: 1.249 | outputscale: 1.799 | noise: 0.104
Iter 290 | Loss: -1230.629 | lengthscale: 1.246 | outputscale: 1.786 | noise: 0.104
Iter 300 | Loss: -1230.641 | lengthscale: 1.243 | outputscale: 1.787 | noise: 0.104
Iter 310 | Loss: -1230.643 | lengthscale: 1.244 | outputscale: 1.788 | noise: 0.104
Iter 320 | Loss: -1230.653 | lengthscale: 1.246 | outputscale: 1.785 | noise: 0.104
Iter 330 | Loss: -1230.601 | lengthscale: 1.246 | outputscale: 1.790 | noise: 0.104
Iter 340 | Loss: -1230.614 | lengthscale: 1.248 | outputscale: 1.800 | noise: 0.104
Iter 350 | Loss: -1230.630 | lengthscale: 1.247 | outputscale: 1.799 | noise: 0.104
Iter 360 | Loss: -1230.694 | lengthscale: 1.249 | outputscale: 1.806 | noise: 0.104
Iter 370 | Loss: -1230.613 | lengthscale: 1.247 | outputscale: 1.791 | noise: 0.104
Iter 380 | Loss: -1230.635 | lengthscale: 1.243 | outputscale: 1.775 | noise: 0.104
Iter 390 | Loss: -1230.620 | lengthscale: 1.239 | outputscale: 1.760 | noise: 0.104
Iter 400 | Loss: -1230.660 | lengthscale: 1.243 | outputscale: 1.768 | noise: 0.104
Iter 410 | Loss: -1230.655 | lengthscale: 1.243 | outputscale: 1.784 | noise: 0.104
Iter 420 | Loss: -1230.623 | lengthscale: 1.247 | outputscale: 1.790 | noise: 0.104
Iter 430 | Loss: -1230.625 | lengthscale: 1.247 | outputscale: 1.791 | noise: 0.104
Iter 440 | Loss: -1230.641 | lengthscale: 1.244 | outputscale: 1.779 | noise: 0.104
