Starting imports...
Importing argparse...
Importing torch...
Importing os...
Importing sngp.train and sngp.model...
Importing gaussian_process...
Importing dataset...
Importing json...
ALL IMPORTS COMPLETE!
Parsing arguments...
Arguments parsed! Running GP on Sin with N=1000
Checking CUDA availability...
Using CPU
Making Datasets...
Making Model...
Training Gaussian Process...
Iter   0 | Loss: -533.235 | lengthscale: 1.010 | outputscale: 1.010 | noise: 0.198
Iter  10 | Loss: -604.886 | lengthscale: 1.046 | outputscale: 1.114 | noise: 0.179
Iter  20 | Loss: -669.422 | lengthscale: 1.076 | outputscale: 1.218 | noise: 0.162
Iter  30 | Loss: -724.905 | lengthscale: 1.100 | outputscale: 1.310 | noise: 0.148
Iter  40 | Loss: -769.774 | lengthscale: 1.119 | outputscale: 1.382 | noise: 0.135
Iter  50 | Loss: -803.233 | lengthscale: 1.131 | outputscale: 1.431 | noise: 0.125
Iter  60 | Loss: -825.623 | lengthscale: 1.137 | outputscale: 1.457 | noise: 0.116
Iter  70 | Loss: -838.615 | lengthscale: 1.141 | outputscale: 1.467 | noise: 0.110
Iter  80 | Loss: -844.779 | lengthscale: 1.141 | outputscale: 1.469 | noise: 0.105
Iter  90 | Loss: -847.078 | lengthscale: 1.141 | outputscale: 1.466 | noise: 0.102
Iter 100 | Loss: -847.623 | lengthscale: 1.140 | outputscale: 1.463 | noise: 0.101
Iter 110 | Loss: -847.671 | lengthscale: 1.139 | outputscale: 1.460 | noise: 0.100
Iter 120 | Loss: -847.639 | lengthscale: 1.140 | outputscale: 1.461 | noise: 0.100
Iter 130 | Loss: -847.628 | lengthscale: 1.141 | outputscale: 1.461 | noise: 0.100
Iter 140 | Loss: -847.660 | lengthscale: 1.140 | outputscale: 1.461 | noise: 0.100
Iter 150 | Loss: -847.657 | lengthscale: 1.140 | outputscale: 1.461 | noise: 0.100
Iter 160 | Loss: -847.678 | lengthscale: 1.140 | outputscale: 1.461 | noise: 0.100
Iter 170 | Loss: -847.634 | lengthscale: 1.140 | outputscale: 1.459 | noise: 0.100
Iter 180 | Loss: -847.665 | lengthscale: 1.139 | outputscale: 1.457 | noise: 0.100
Iter 190 | Loss: -847.685 | lengthscale: 1.138 | outputscale: 1.457 | noise: 0.100
Iter 200 | Loss: -847.656 | lengthscale: 1.139 | outputscale: 1.459 | noise: 0.100
Iter 210 | Loss: -847.641 | lengthscale: 1.139 | outputscale: 1.456 | noise: 0.100
Iter 220 | Loss: -847.653 | lengthscale: 1.139 | outputscale: 1.456 | noise: 0.100
Iter 230 | Loss: -847.664 | lengthscale: 1.138 | outputscale: 1.455 | noise: 0.100
Iter 240 | Loss: -847.659 | lengthscale: 1.138 | outputscale: 1.458 | noise: 0.100
Iter 250 | Loss: -847.643 | lengthscale: 1.137 | outputscale: 1.456 | noise: 0.100
Iter 260 | Loss: -847.668 | lengthscale: 1.137 | outputscale: 1.451 | noise: 0.100
Iter 270 | Loss: -847.689 | lengthscale: 1.137 | outputscale: 1.450 | noise: 0.100
Iter 280 | Loss: -847.668 | lengthscale: 1.137 | outputscale: 1.447 | noise: 0.100
Iter 290 | Loss: -847.661 | lengthscale: 1.137 | outputscale: 1.442 | noise: 0.100
Iter 300 | Loss: -847.653 | lengthscale: 1.137 | outputscale: 1.449 | noise: 0.100
Iter 310 | Loss: -847.671 | lengthscale: 1.138 | outputscale: 1.454 | noise: 0.100
Iter 320 | Loss: -847.661 | lengthscale: 1.140 | outputscale: 1.461 | noise: 0.100
Iter 330 | Loss: -847.654 | lengthscale: 1.139 | outputscale: 1.458 | noise: 0.100
Iter 340 | Loss: -847.661 | lengthscale: 1.137 | outputscale: 1.449 | noise: 0.100
Iter 350 | Loss: -847.663 | lengthscale: 1.138 | outputscale: 1.450 | noise: 0.100
Iter 360 | Loss: -847.641 | lengthscale: 1.140 | outputscale: 1.461 | noise: 0.100
Iter 370 | Loss: -847.670 | lengthscale: 1.140 | outputscale: 1.464 | noise: 0.100
Iter 380 | Loss: -847.672 | lengthscale: 1.139 | outputscale: 1.456 | noise: 0.100
Iter 390 | Loss: -847.648 | lengthscale: 1.139 | outputscale: 1.457 | noise: 0.100
Iter 400 | Loss: -847.648 | lengthscale: 1.141 | outputscale: 1.457 | noise: 0.100
Iter 410 | Loss: -847.651 | lengthscale: 1.141 | outputscale: 1.462 | noise: 0.100
Iter 420 | Loss: -847.655 | lengthscale: 1.141 | outputscale: 1.465 | noise: 0.100
Iter 430 | Loss: -847.671 | lengthscale: 1.139 | outputscale: 1.462 | noise: 0.100
Iter 440 | Loss: -847.652 | lengthscale: 1.138 | outputscale: 1.454 | noise: 0.100
Iter 450 | Loss: -847.671 | lengthscale: 1.138 | outputscale: 1.452 | noise: 0.100
Iter 460 | Loss: -847.654 | lengthscale: 1.138 | outputscale: 1.457 | noise: 0.100
Iter 470 | Loss: -847.638 | lengthscale: 1.140 | outputscale: 1.458 | noise: 0.100
Iter 480 | Loss: -847.657 | lengthscale: 1.139 | outputscale: 1.462 | noise: 0.100
Iter 490 | Loss: -847.650 | lengthscale: 1.140 | outputscale: 1.464 | noise: 0.100
Iter 500 | Loss: -847.681 | lengthscale: 1.139 | outputscale: 1.464 | noise: 0.100
Iter 510 | Loss: -847.699 | lengthscale: 1.137 | outputscale: 1.451 | noise: 0.100
Iter 520 | Loss: -847.670 | lengthscale: 1.137 | outputscale: 1.450 | noise: 0.100
Iter 530 | Loss: -847.686 | lengthscale: 1.138 | outputscale: 1.453 | noise: 0.100
Iter 540 | Loss: -847.673 | lengthscale: 1.139 | outputscale: 1.455 | noise: 0.100
Iter 550 | Loss: -847.658 | lengthscale: 1.140 | outputscale: 1.458 | noise: 0.100
Iter 560 | Loss: -847.642 | lengthscale: 1.140 | outputscale: 1.463 | noise: 0.100
Iter 570 | Loss: -847.672 | lengthscale: 1.140 | outputscale: 1.462 | noise: 0.100
Iter 580 | Loss: -847.669 | lengthscale: 1.139 | outputscale: 1.459 | noise: 0.100
Iter 590 | Loss: -847.677 | lengthscale: 1.139 | outputscale: 1.453 | noise: 0.100
Iter 600 | Loss: -847.668 | lengthscale: 1.139 | outputscale: 1.458 | noise: 0.100
Iter 610 | Loss: -847.639 | lengthscale: 1.141 | outputscale: 1.470 | noise: 0.100
Iter 620 | Loss: -847.651 | lengthscale: 1.140 | outputscale: 1.463 | noise: 0.100
Iter 630 | Loss: -847.670 | lengthscale: 1.138 | outputscale: 1.453 | noise: 0.100
Iter 640 | Loss: -847.643 | lengthscale: 1.140 | outputscale: 1.456 | noise: 0.100
Iter 650 | Loss: -847.640 | lengthscale: 1.140 | outputscale: 1.460 | noise: 0.100
Iter 660 | Loss: -847.646 | lengthscale: 1.140 | outputscale: 1.458 | noise: 0.100
Iter 670 | Loss: -847.666 | lengthscale: 1.138 | outputscale: 1.449 | noise: 0.100
Iter 680 | Loss: -847.679 | lengthscale: 1.138 | outputscale: 1.451 | noise: 0.100
Iter 690 | Loss: -847.636 | lengthscale: 1.140 | outputscale: 1.464 | noise: 0.100
Iter 700 | Loss: -847.678 | lengthscale: 1.140 | outputscale: 1.468 | noise: 0.100
Iter 710 | Loss: -847.633 | lengthscale: 1.140 | outputscale: 1.464 | noise: 0.100
Iter 720 | Loss: -847.677 | lengthscale: 1.139 | outputscale: 1.458 | noise: 0.100
Iter 730 | Loss: -847.664 | lengthscale: 1.141 | outputscale: 1.465 | noise: 0.100
Iter 740 | Loss: -847.651 | lengthscale: 1.141 | outputscale: 1.463 | noise: 0.100
Iter 750 | Loss: -847.629 | lengthscale: 1.140 | outputscale: 1.463 | noise: 0.100
Iter 760 | Loss: -847.660 | lengthscale: 1.137 | outputscale: 1.452 | noise: 0.100
Iter 770 | Loss: -847.679 | lengthscale: 1.139 | outputscale: 1.455 | noise: 0.100
Iter 780 | Loss: -847.654 | lengthscale: 1.140 | outputscale: 1.461 | noise: 0.100
Iter 790 | Loss: -847.665 | lengthscale: 1.139 | outputscale: 1.455 | noise: 0.100
Iter 800 | Loss: -847.661 | lengthscale: 1.140 | outputscale: 1.458 | noise: 0.100
Iter 810 | Loss: -847.658 | lengthscale: 1.140 | outputscale: 1.458 | noise: 0.100
Iter 820 | Loss: -847.659 | lengthscale: 1.137 | outputscale: 1.447 | noise: 0.100
Iter 830 | Loss: -847.636 | lengthscale: 1.137 | outputscale: 1.448 | noise: 0.100
Iter 840 | Loss: -847.660 | lengthscale: 1.138 | outputscale: 1.451 | noise: 0.100
Iter 850 | Loss: -847.672 | lengthscale: 1.139 | outputscale: 1.457 | noise: 0.100
Iter 860 | Loss: -847.660 | lengthscale: 1.140 | outputscale: 1.464 | noise: 0.100
Iter 870 | Loss: -847.639 | lengthscale: 1.141 | outputscale: 1.466 | noise: 0.100
Iter 880 | Loss: -847.657 | lengthscale: 1.140 | outputscale: 1.463 | noise: 0.100
Iter 890 | Loss: -847.672 | lengthscale: 1.140 | outputscale: 1.457 | noise: 0.100
Iter 900 | Loss: -847.634 | lengthscale: 1.139 | outputscale: 1.459 | noise: 0.100
Iter 910 | Loss: -847.654 | lengthscale: 1.141 | outputscale: 1.467 | noise: 0.100
Iter 920 | Loss: -847.672 | lengthscale: 1.141 | outputscale: 1.460 | noise: 0.100
Iter 930 | Loss: -847.669 | lengthscale: 1.137 | outputscale: 1.447 | noise: 0.100
Iter 940 | Loss: -847.673 | lengthscale: 1.137 | outputscale: 1.446 | noise: 0.100
Iter 950 | Loss: -847.662 | lengthscale: 1.139 | outputscale: 1.457 | noise: 0.100
Iter 960 | Loss: -847.684 | lengthscale: 1.137 | outputscale: 1.454 | noise: 0.100
Iter 970 | Loss: -847.655 | lengthscale: 1.138 | outputscale: 1.456 | noise: 0.100
Iter 980 | Loss: -847.653 | lengthscale: 1.139 | outputscale: 1.458 | noise: 0.100
Iter 990 | Loss: -847.642 | lengthscale: 1.140 | outputscale: 1.456 | noise: 0.100
Iter 1000 | Loss: -847.678 | lengthscale: 1.141 | outputscale: 1.460 | noise: 0.100
Iter 1010 | Loss: -847.639 | lengthscale: 1.139 | outputscale: 1.458 | noise: 0.100
Iter 1020 | Loss: -847.665 | lengthscale: 1.137 | outputscale: 1.450 | noise: 0.100
Iter 1030 | Loss: -847.693 | lengthscale: 1.138 | outputscale: 1.453 | noise: 0.100
Iter 1040 | Loss: -847.701 | lengthscale: 1.138 | outputscale: 1.454 | noise: 0.100
Iter 1050 | Loss: -847.674 | lengthscale: 1.140 | outputscale: 1.462 | noise: 0.100
Iter 1060 | Loss: -847.634 | lengthscale: 1.137 | outputscale: 1.453 | noise: 0.100
Iter 1070 | Loss: -847.681 | lengthscale: 1.139 | outputscale: 1.455 | noise: 0.100
Iter 1080 | Loss: -847.651 | lengthscale: 1.139 | outputscale: 1.461 | noise: 0.100
Iter 1090 | Loss: -847.656 | lengthscale: 1.139 | outputscale: 1.460 | noise: 0.100
Iter 1100 | Loss: -847.652 | lengthscale: 1.139 | outputscale: 1.458 | noise: 0.100
Iter 1110 | Loss: -847.672 | lengthscale: 1.137 | outputscale: 1.446 | noise: 0.100
Iter 1120 | Loss: -847.658 | lengthscale: 1.139 | outputscale: 1.453 | noise: 0.100
Iter 1130 | Loss: -847.683 | lengthscale: 1.142 | outputscale: 1.469 | noise: 0.100
Iter 1140 | Loss: -847.631 | lengthscale: 1.141 | outputscale: 1.461 | noise: 0.100
Iter 1150 | Loss: -847.676 | lengthscale: 1.138 | outputscale: 1.454 | noise: 0.100
Iter 1160 | Loss: -847.663 | lengthscale: 1.140 | outputscale: 1.463 | noise: 0.100
Iter 1170 | Loss: -847.664 | lengthscale: 1.142 | outputscale: 1.468 | noise: 0.100
Iter 1180 | Loss: -847.637 | lengthscale: 1.139 | outputscale: 1.458 | noise: 0.100
Iter 1190 | Loss: -847.643 | lengthscale: 1.138 | outputscale: 1.454 | noise: 0.100
Iter 1200 | Loss: -847.648 | lengthscale: 1.141 | outputscale: 1.466 | noise: 0.100
Iter 1210 | Loss: -847.646 | lengthscale: 1.138 | outputscale: 1.448 | noise: 0.100
Iter 1220 | Loss: -847.643 | lengthscale: 1.139 | outputscale: 1.455 | noise: 0.100
Iter 1230 | Loss: -847.634 | lengthscale: 1.140 | outputscale: 1.465 | noise: 0.100
Iter 1240 | Loss: -847.658 | lengthscale: 1.139 | outputscale: 1.458 | noise: 0.100
Iter 1250 | Loss: -847.634 | lengthscale: 1.140 | outputscale: 1.464 | noise: 0.100
Iter 1260 | Loss: -847.673 | lengthscale: 1.140 | outputscale: 1.467 | noise: 0.100
Iter 1270 | Loss: -847.667 | lengthscale: 1.137 | outputscale: 1.450 | noise: 0.100
Iter 1280 | Loss: -847.678 | lengthscale: 1.136 | outputscale: 1.442 | noise: 0.100
Iter 1290 | Loss: -847.651 | lengthscale: 1.139 | outputscale: 1.454 | noise: 0.100
Iter 1300 | Loss: -847.648 | lengthscale: 1.141 | outputscale: 1.458 | noise: 0.100
Iter 1310 | Loss: -847.675 | lengthscale: 1.139 | outputscale: 1.455 | noise: 0.100
Iter 1320 | Loss: -847.675 | lengthscale: 1.136 | outputscale: 1.447 | noise: 0.100
Iter 1330 | Loss: -847.674 | lengthscale: 1.139 | outputscale: 1.455 | noise: 0.100
Iter 1340 | Loss: -847.654 | lengthscale: 1.140 | outputscale: 1.460 | noise: 0.100
Iter 1350 | Loss: -847.672 | lengthscale: 1.141 | outputscale: 1.463 | noise: 0.100
Iter 1360 | Loss: -847.660 | lengthscale: 1.140 | outputscale: 1.459 | noise: 0.100
Iter 1370 | Loss: -847.677 | lengthscale: 1.141 | outputscale: 1.468 | noise: 0.100
Iter 1380 | Loss: -847.677 | lengthscale: 1.138 | outputscale: 1.457 | noise: 0.100
Iter 1390 | Loss: -847.670 | lengthscale: 1.136 | outputscale: 1.437 | noise: 0.100
Iter 1400 | Loss: -847.671 | lengthscale: 1.137 | outputscale: 1.448 | noise: 0.100
Iter 1410 | Loss: -847.676 | lengthscale: 1.140 | outputscale: 1.460 | noise: 0.100
Iter 1420 | Loss: -847.656 | lengthscale: 1.140 | outputscale: 1.457 | noise: 0.100
Iter 1430 | Loss: -847.657 | lengthscale: 1.140 | outputscale: 1.458 | noise: 0.100
Iter 1440 | Loss: -847.648 | lengthscale: 1.141 | outputscale: 1.465 | noise: 0.100
Iter 1450 | Loss: -847.662 | lengthscale: 1.141 | outputscale: 1.459 | noise: 0.100
Iter 1460 | Loss: -847.656 | lengthscale: 1.137 | outputscale: 1.448 | noise: 0.100
Iter 1470 | Loss: -847.637 | lengthscale: 1.139 | outputscale: 1.461 | noise: 0.100
Iter 1480 | Loss: -847.671 | lengthscale: 1.141 | outputscale: 1.470 | noise: 0.100
Iter 1490 | Loss: -847.635 | lengthscale: 1.140 | outputscale: 1.462 | noise: 0.100
Iter 1500 | Loss: -847.661 | lengthscale: 1.139 | outputscale: 1.448 | noise: 0.100
Iter 1510 | Loss: -847.658 | lengthscale: 1.145 | outputscale: 1.475 | noise: 0.100
Iter 1520 | Loss: -847.668 | lengthscale: 1.139 | outputscale: 1.450 | noise: 0.100
Iter 1530 | Loss: -847.679 | lengthscale: 1.139 | outputscale: 1.455 | noise: 0.100
Iter 1540 | Loss: -847.659 | lengthscale: 1.139 | outputscale: 1.456 | noise: 0.100
Iter 1550 | Loss: -847.637 | lengthscale: 1.140 | outputscale: 1.461 | noise: 0.100
Iter 1560 | Loss: -847.678 | lengthscale: 1.136 | outputscale: 1.443 | noise: 0.100
Iter 1570 | Loss: -847.659 | lengthscale: 1.139 | outputscale: 1.456 | noise: 0.100
Iter 1580 | Loss: -847.649 | lengthscale: 1.140 | outputscale: 1.461 | noise: 0.100
Iter 1590 | Loss: -847.666 | lengthscale: 1.139 | outputscale: 1.456 | noise: 0.100
Iter 1600 | Loss: -847.646 | lengthscale: 1.140 | outputscale: 1.460 | noise: 0.100
Iter 1610 | Loss: -847.664 | lengthscale: 1.139 | outputscale: 1.457 | noise: 0.100
Iter 1620 | Loss: -847.694 | lengthscale: 1.137 | outputscale: 1.449 | noise: 0.100
Iter 1630 | Loss: -847.681 | lengthscale: 1.138 | outputscale: 1.450 | noise: 0.100
Iter 1640 | Loss: -847.668 | lengthscale: 1.139 | outputscale: 1.455 | noise: 0.100
