Starting imports...
Importing argparse...
Importing torch...
Importing os...
Importing sngp.train and sngp.model...
Importing gaussian_process...
Importing dataset...
Importing json...
ALL IMPORTS COMPLETE!
Parsing arguments...
Arguments parsed! Running GP on Sin with N=1500
Checking CUDA availability...
Using CPU
Making Datasets...
Making Model...
Training Gaussian Process...
Iter   0 | Loss: -821.405 | lengthscale: 1.010 | outputscale: 1.010 | noise: 0.198
Iter  10 | Loss: -930.946 | lengthscale: 1.061 | outputscale: 1.117 | noise: 0.179
Iter  20 | Loss: -1030.277 | lengthscale: 1.105 | outputscale: 1.227 | noise: 0.162
Iter  30 | Loss: -1116.557 | lengthscale: 1.136 | outputscale: 1.338 | noise: 0.148
Iter  40 | Loss: -1187.416 | lengthscale: 1.167 | outputscale: 1.445 | noise: 0.135
Iter  50 | Loss: -1241.417 | lengthscale: 1.195 | outputscale: 1.547 | noise: 0.125
Iter  60 | Loss: -1278.827 | lengthscale: 1.220 | outputscale: 1.642 | noise: 0.116
Iter  70 | Loss: -1301.642 | lengthscale: 1.240 | outputscale: 1.729 | noise: 0.109
Iter  80 | Loss: -1313.249 | lengthscale: 1.258 | outputscale: 1.809 | noise: 0.104
Iter  90 | Loss: -1317.934 | lengthscale: 1.273 | outputscale: 1.880 | noise: 0.101
Iter 100 | Loss: -1319.292 | lengthscale: 1.285 | outputscale: 1.943 | noise: 0.099
Iter 110 | Loss: -1319.604 | lengthscale: 1.295 | outputscale: 1.996 | noise: 0.098
Iter 120 | Loss: -1319.682 | lengthscale: 1.300 | outputscale: 2.035 | noise: 0.098
Iter 130 | Loss: -1319.553 | lengthscale: 1.305 | outputscale: 2.061 | noise: 0.098
Iter 140 | Loss: -1319.586 | lengthscale: 1.309 | outputscale: 2.078 | noise: 0.098
Iter 150 | Loss: -1319.690 | lengthscale: 1.311 | outputscale: 2.090 | noise: 0.098
Iter 160 | Loss: -1319.704 | lengthscale: 1.309 | outputscale: 2.096 | noise: 0.098
Iter 170 | Loss: -1319.651 | lengthscale: 1.311 | outputscale: 2.090 | noise: 0.098
Iter 180 | Loss: -1319.733 | lengthscale: 1.314 | outputscale: 2.087 | noise: 0.098
Iter 190 | Loss: -1319.866 | lengthscale: 1.315 | outputscale: 2.095 | noise: 0.098
Iter 200 | Loss: -1319.720 | lengthscale: 1.310 | outputscale: 2.096 | noise: 0.098
Iter 210 | Loss: -1319.656 | lengthscale: 1.313 | outputscale: 2.103 | noise: 0.098
Iter 220 | Loss: -1319.749 | lengthscale: 1.311 | outputscale: 2.089 | noise: 0.098
Iter 230 | Loss: -1319.681 | lengthscale: 1.310 | outputscale: 2.079 | noise: 0.098
Iter 240 | Loss: -1319.664 | lengthscale: 1.309 | outputscale: 2.071 | noise: 0.098
Iter 250 | Loss: -1319.614 | lengthscale: 1.307 | outputscale: 2.086 | noise: 0.098
Iter 260 | Loss: -1319.743 | lengthscale: 1.313 | outputscale: 2.095 | noise: 0.098
Iter 270 | Loss: -1319.787 | lengthscale: 1.311 | outputscale: 2.094 | noise: 0.098
Iter 280 | Loss: -1319.621 | lengthscale: 1.308 | outputscale: 2.085 | noise: 0.098
Iter 290 | Loss: -1319.544 | lengthscale: 1.303 | outputscale: 2.054 | noise: 0.098
Iter 300 | Loss: -1319.659 | lengthscale: 1.302 | outputscale: 2.053 | noise: 0.098
Iter 310 | Loss: -1319.560 | lengthscale: 1.309 | outputscale: 2.073 | noise: 0.098
Iter 320 | Loss: -1319.615 | lengthscale: 1.308 | outputscale: 2.069 | noise: 0.098
Iter 330 | Loss: -1319.674 | lengthscale: 1.306 | outputscale: 2.066 | noise: 0.098
Iter 340 | Loss: -1319.601 | lengthscale: 1.306 | outputscale: 2.063 | noise: 0.098
Iter 350 | Loss: -1319.676 | lengthscale: 1.308 | outputscale: 2.064 | noise: 0.098
Iter 360 | Loss: -1319.626 | lengthscale: 1.307 | outputscale: 2.065 | noise: 0.098
Iter 370 | Loss: -1319.699 | lengthscale: 1.301 | outputscale: 2.061 | noise: 0.098
Iter 380 | Loss: -1319.672 | lengthscale: 1.312 | outputscale: 2.077 | noise: 0.098
Iter 390 | Loss: -1319.700 | lengthscale: 1.311 | outputscale: 2.074 | noise: 0.098
Iter 400 | Loss: -1319.614 | lengthscale: 1.303 | outputscale: 2.064 | noise: 0.098
Iter 410 | Loss: -1319.606 | lengthscale: 1.303 | outputscale: 2.050 | noise: 0.098
Iter 420 | Loss: -1319.620 | lengthscale: 1.309 | outputscale: 2.060 | noise: 0.098
Iter 430 | Loss: -1319.652 | lengthscale: 1.309 | outputscale: 2.091 | noise: 0.098
Iter 440 | Loss: -1319.789 | lengthscale: 1.315 | outputscale: 2.108 | noise: 0.098
Iter 450 | Loss: -1319.750 | lengthscale: 1.315 | outputscale: 2.116 | noise: 0.098
Iter 460 | Loss: -1319.671 | lengthscale: 1.313 | outputscale: 2.108 | noise: 0.098
Iter 470 | Loss: -1319.720 | lengthscale: 1.315 | outputscale: 2.114 | noise: 0.098
Iter 480 | Loss: -1319.761 | lengthscale: 1.318 | outputscale: 2.118 | noise: 0.098
Iter 490 | Loss: -1319.709 | lengthscale: 1.310 | outputscale: 2.098 | noise: 0.098
Iter 500 | Loss: -1319.790 | lengthscale: 1.310 | outputscale: 2.085 | noise: 0.098
Iter 510 | Loss: -1319.583 | lengthscale: 1.307 | outputscale: 2.070 | noise: 0.098
Iter 520 | Loss: -1319.499 | lengthscale: 1.306 | outputscale: 2.055 | noise: 0.098
Iter 530 | Loss: -1319.622 | lengthscale: 1.309 | outputscale: 2.072 | noise: 0.098
Iter 540 | Loss: -1319.752 | lengthscale: 1.310 | outputscale: 2.089 | noise: 0.098
Iter 550 | Loss: -1319.799 | lengthscale: 1.311 | outputscale: 2.092 | noise: 0.098
Iter 560 | Loss: -1319.615 | lengthscale: 1.309 | outputscale: 2.076 | noise: 0.098
Iter 570 | Loss: -1319.539 | lengthscale: 1.306 | outputscale: 2.075 | noise: 0.098
Iter 580 | Loss: -1319.713 | lengthscale: 1.307 | outputscale: 2.072 | noise: 0.098
Iter 590 | Loss: -1319.672 | lengthscale: 1.312 | outputscale: 2.091 | noise: 0.098
Iter 600 | Loss: -1319.746 | lengthscale: 1.318 | outputscale: 2.150 | noise: 0.098
Iter 610 | Loss: -1319.680 | lengthscale: 1.324 | outputscale: 2.172 | noise: 0.098
Iter 620 | Loss: -1319.720 | lengthscale: 1.319 | outputscale: 2.139 | noise: 0.098
Iter 630 | Loss: -1319.637 | lengthscale: 1.314 | outputscale: 2.107 | noise: 0.098
Iter 640 | Loss: -1319.695 | lengthscale: 1.310 | outputscale: 2.084 | noise: 0.098
Iter 650 | Loss: -1319.831 | lengthscale: 1.312 | outputscale: 2.103 | noise: 0.098
Iter 660 | Loss: -1319.798 | lengthscale: 1.313 | outputscale: 2.103 | noise: 0.098
Iter 670 | Loss: -1319.705 | lengthscale: 1.310 | outputscale: 2.089 | noise: 0.098
Iter 680 | Loss: -1319.620 | lengthscale: 1.310 | outputscale: 2.086 | noise: 0.098
Iter 690 | Loss: -1319.679 | lengthscale: 1.314 | outputscale: 2.088 | noise: 0.098
Iter 700 | Loss: -1319.695 | lengthscale: 1.307 | outputscale: 2.090 | noise: 0.098
Iter 710 | Loss: -1319.564 | lengthscale: 1.309 | outputscale: 2.089 | noise: 0.098
Iter 720 | Loss: -1319.841 | lengthscale: 1.318 | outputscale: 2.119 | noise: 0.098
Iter 730 | Loss: -1319.790 | lengthscale: 1.319 | outputscale: 2.151 | noise: 0.098
Iter 740 | Loss: -1319.715 | lengthscale: 1.319 | outputscale: 2.153 | noise: 0.098
Iter 750 | Loss: -1319.672 | lengthscale: 1.324 | outputscale: 2.157 | noise: 0.098
Iter 760 | Loss: -1319.682 | lengthscale: 1.316 | outputscale: 2.132 | noise: 0.098
Iter 770 | Loss: -1319.762 | lengthscale: 1.311 | outputscale: 2.082 | noise: 0.098
Iter 780 | Loss: -1319.697 | lengthscale: 1.309 | outputscale: 2.075 | noise: 0.098
Iter 790 | Loss: -1319.603 | lengthscale: 1.309 | outputscale: 2.085 | noise: 0.098
Iter 800 | Loss: -1319.657 | lengthscale: 1.307 | outputscale: 2.076 | noise: 0.098
Iter 810 | Loss: -1319.676 | lengthscale: 1.314 | outputscale: 2.102 | noise: 0.098
Iter 820 | Loss: -1319.675 | lengthscale: 1.319 | outputscale: 2.147 | noise: 0.098
Iter 830 | Loss: -1319.565 | lengthscale: 1.322 | outputscale: 2.161 | noise: 0.098
Iter 840 | Loss: -1319.780 | lengthscale: 1.314 | outputscale: 2.120 | noise: 0.098
Iter 850 | Loss: -1319.692 | lengthscale: 1.311 | outputscale: 2.103 | noise: 0.098
Iter 860 | Loss: -1319.756 | lengthscale: 1.315 | outputscale: 2.102 | noise: 0.098
Iter 870 | Loss: -1319.722 | lengthscale: 1.319 | outputscale: 2.141 | noise: 0.098
Iter 880 | Loss: -1319.759 | lengthscale: 1.325 | outputscale: 2.176 | noise: 0.098
Iter 890 | Loss: -1319.719 | lengthscale: 1.317 | outputscale: 2.134 | noise: 0.098
Iter 900 | Loss: -1319.636 | lengthscale: 1.308 | outputscale: 2.085 | noise: 0.098
