Starting imports...
Importing argparse...
Importing torch...
Importing os...
Importing sngp.train and sngp.model...
Importing gaussian_process...
Importing dataset...
Importing json...
ALL IMPORTS COMPLETE!
Parsing arguments...
Arguments parsed! Running GP on Sin with N=1500
Checking CUDA availability...
Using CPU
Making Datasets...
Making Model...
Training Gaussian Process...
Iter   0 | Loss: -810.787 | lengthscale: 1.010 | outputscale: 1.010 | noise: 0.198
Iter  10 | Loss: -917.955 | lengthscale: 1.073 | outputscale: 1.117 | noise: 0.179
Iter  20 | Loss: -1014.304 | lengthscale: 1.106 | outputscale: 1.229 | noise: 0.163
Iter  30 | Loss: -1096.901 | lengthscale: 1.138 | outputscale: 1.339 | noise: 0.148
Iter  40 | Loss: -1163.393 | lengthscale: 1.172 | outputscale: 1.445 | noise: 0.135
Iter  50 | Loss: -1212.651 | lengthscale: 1.196 | outputscale: 1.546 | noise: 0.125
Iter  60 | Loss: -1245.272 | lengthscale: 1.217 | outputscale: 1.640 | noise: 0.117
Iter  70 | Loss: -1263.956 | lengthscale: 1.236 | outputscale: 1.726 | noise: 0.110
Iter  80 | Loss: -1272.557 | lengthscale: 1.253 | outputscale: 1.805 | noise: 0.106
Iter  90 | Loss: -1275.727 | lengthscale: 1.268 | outputscale: 1.877 | noise: 0.103
Iter 100 | Loss: -1276.296 | lengthscale: 1.279 | outputscale: 1.937 | noise: 0.101
Iter 110 | Loss: -1276.446 | lengthscale: 1.289 | outputscale: 1.988 | noise: 0.101
Iter 120 | Loss: -1276.352 | lengthscale: 1.297 | outputscale: 2.035 | noise: 0.100
Iter 130 | Loss: -1276.408 | lengthscale: 1.303 | outputscale: 2.064 | noise: 0.100
Iter 140 | Loss: -1276.403 | lengthscale: 1.306 | outputscale: 2.086 | noise: 0.101
Iter 150 | Loss: -1276.444 | lengthscale: 1.307 | outputscale: 2.099 | noise: 0.101
Iter 160 | Loss: -1276.333 | lengthscale: 1.307 | outputscale: 2.100 | noise: 0.101
Iter 170 | Loss: -1276.516 | lengthscale: 1.307 | outputscale: 2.106 | noise: 0.101
Iter 180 | Loss: -1276.525 | lengthscale: 1.307 | outputscale: 2.109 | noise: 0.101
Iter 190 | Loss: -1276.434 | lengthscale: 1.307 | outputscale: 2.108 | noise: 0.101
Iter 200 | Loss: -1276.411 | lengthscale: 1.308 | outputscale: 2.107 | noise: 0.101
Iter 210 | Loss: -1276.430 | lengthscale: 1.306 | outputscale: 2.106 | noise: 0.101
Iter 220 | Loss: -1276.473 | lengthscale: 1.305 | outputscale: 2.102 | noise: 0.101
Iter 230 | Loss: -1276.385 | lengthscale: 1.307 | outputscale: 2.103 | noise: 0.101
Iter 240 | Loss: -1276.386 | lengthscale: 1.306 | outputscale: 2.102 | noise: 0.101
Iter 250 | Loss: -1276.412 | lengthscale: 1.303 | outputscale: 2.098 | noise: 0.101
Iter 260 | Loss: -1276.448 | lengthscale: 1.307 | outputscale: 2.100 | noise: 0.101
Iter 270 | Loss: -1276.454 | lengthscale: 1.308 | outputscale: 2.124 | noise: 0.101
Iter 280 | Loss: -1276.488 | lengthscale: 1.310 | outputscale: 2.126 | noise: 0.101
Iter 290 | Loss: -1276.493 | lengthscale: 1.312 | outputscale: 2.129 | noise: 0.101
Iter 300 | Loss: -1276.507 | lengthscale: 1.311 | outputscale: 2.131 | noise: 0.101
Iter 310 | Loss: -1276.468 | lengthscale: 1.309 | outputscale: 2.122 | noise: 0.101
Iter 320 | Loss: -1276.398 | lengthscale: 1.309 | outputscale: 2.106 | noise: 0.101
Iter 330 | Loss: -1276.416 | lengthscale: 1.306 | outputscale: 2.088 | noise: 0.101
Iter 340 | Loss: -1276.471 | lengthscale: 1.306 | outputscale: 2.100 | noise: 0.101
Iter 350 | Loss: -1276.426 | lengthscale: 1.306 | outputscale: 2.093 | noise: 0.101
Iter 360 | Loss: -1276.462 | lengthscale: 1.306 | outputscale: 2.091 | noise: 0.101
Iter 370 | Loss: -1276.403 | lengthscale: 1.302 | outputscale: 2.086 | noise: 0.101
Iter 380 | Loss: -1276.403 | lengthscale: 1.305 | outputscale: 2.093 | noise: 0.101
Iter 390 | Loss: -1276.442 | lengthscale: 1.307 | outputscale: 2.093 | noise: 0.101
Iter 400 | Loss: -1276.437 | lengthscale: 1.302 | outputscale: 2.092 | noise: 0.101
Iter 410 | Loss: -1276.278 | lengthscale: 1.306 | outputscale: 2.095 | noise: 0.101
Iter 420 | Loss: -1276.411 | lengthscale: 1.305 | outputscale: 2.089 | noise: 0.101
