Starting imports...
Importing argparse...
Importing torch...
Importing os...
Importing sngp.train and sngp.model...
Importing gaussian_process...
Importing dataset...
Importing json...
ALL IMPORTS COMPLETE!
Parsing arguments...
Arguments parsed! Running GP on Sin with N=1500
Checking CUDA availability...
Using CPU
Making Datasets...
Making Model...
Training Gaussian Process...
Iter   0 | Loss: -813.355 | lengthscale: 1.010 | outputscale: 1.010 | noise: 0.198
Iter  10 | Loss: -921.052 | lengthscale: 1.068 | outputscale: 1.117 | noise: 0.179
Iter  20 | Loss: -1018.042 | lengthscale: 1.103 | outputscale: 1.227 | noise: 0.162
Iter  30 | Loss: -1101.439 | lengthscale: 1.131 | outputscale: 1.334 | noise: 0.148
Iter  40 | Loss: -1168.856 | lengthscale: 1.162 | outputscale: 1.431 | noise: 0.135
Iter  50 | Loss: -1219.062 | lengthscale: 1.185 | outputscale: 1.518 | noise: 0.125
Iter  60 | Loss: -1252.665 | lengthscale: 1.202 | outputscale: 1.592 | noise: 0.116
Iter  70 | Loss: -1272.116 | lengthscale: 1.218 | outputscale: 1.655 | noise: 0.110
Iter  80 | Loss: -1281.429 | lengthscale: 1.228 | outputscale: 1.704 | noise: 0.105
Iter  90 | Loss: -1284.760 | lengthscale: 1.237 | outputscale: 1.741 | noise: 0.102
Iter 100 | Loss: -1285.517 | lengthscale: 1.242 | outputscale: 1.769 | noise: 0.101
Iter 110 | Loss: -1285.661 | lengthscale: 1.245 | outputscale: 1.782 | noise: 0.100
Iter 120 | Loss: -1285.535 | lengthscale: 1.246 | outputscale: 1.784 | noise: 0.100
Iter 130 | Loss: -1285.516 | lengthscale: 1.246 | outputscale: 1.787 | noise: 0.100
Iter 140 | Loss: -1285.604 | lengthscale: 1.246 | outputscale: 1.785 | noise: 0.100
Iter 150 | Loss: -1285.619 | lengthscale: 1.244 | outputscale: 1.779 | noise: 0.100
Iter 160 | Loss: -1285.609 | lengthscale: 1.244 | outputscale: 1.783 | noise: 0.100
Iter 170 | Loss: -1285.568 | lengthscale: 1.245 | outputscale: 1.784 | noise: 0.100
Iter 180 | Loss: -1285.687 | lengthscale: 1.245 | outputscale: 1.781 | noise: 0.100
